OUTFGAF Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/17/2008,8/17/2008,9/17/2008,10/17/2008,11/17/2008,12/17/2008,1/17/2009,2/17/2009,3/17/2009,4/17/2009,5/17/2009,6/17/2009,7/17/2009,8/17/2009,9/17/2009,10/17/2009,11/17/2009,12/17/2009,1/17/2010,2/17/2010,3/17/2010,4/17/2010,5/17/2010,6/17/2010,7/17/2010,8/17/2010,9/17/2010,10/17/2010,11/17/2010,12/17/2010,1/17/2011,2/17/2011,3/17/2011,4/17/2011,5/17/2011,6/17/2011,7/17/2011,8/17/2011,9/17/2011,10/17/2011,11/17/2011,12/17/2011,1/17/2012,2/17/2012,3/17/2012,4/17/2012,5/17/2012,6/17/2012,7/17/2012,8/17/2012,9/17/2012,10/17/2012,11/17/2012,12/17/2012,1/17/2013,2/17/2013,3/17/2013,4/17/2013,5/17/2013,6/17/2013,7/17/2013
Bastian Hepperle WestLB AG,-1,-1,1,-1,-1,1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beatriz Tejero Ibersecurities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,1,-1,0,-1,-1,-1,0,0,-1,0,-1,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bernd Krampen Nord/LB,-1,-1,0,-1,-1,1,1,-1,1,1,0,0,0,1,1,-1,0,-1,-1,-1,0,-1,0,0,0,-1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,0,-1,0,1,-1,1,0,-1,-1,-1,-1,-1,-1,0,1,1,-1,1,0,-1,0,-1,0,-1,0
Besch/Luetje DekaBank,-1,-1,1,-1,-1,0,1,-1,1,1,-1,1,-1,1,1,-1,1,-1,-1,1,-1,1,1,-1,-1,-1,-1,-1,1,1,-1,1,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,1,1,-1,-1,-1,0,-1,1,1,-1,1,-1,-1,1,-1,-1,1,1
Beth Ann Bovino Standard & Poor's,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brian M. Jones Societe Generale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,1,1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,1,1,-1,-1,0,-1,-1,-1,1,-1,1,-1,-1,1,-1,-1,1,1
Chris Rupkey Bank of Tokyo- Mitsubishi UFJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,-1,0,0,1,1,0,0,0,0,0,-1,0,-1,0,-1,-1,-1,0,-1,0,1
Christian Reicherter DZ Bank,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,1,1,-1,1,0,-1,1,-1,1,-1,-1,0,-1,-1,-1,1,-1,-1,-1,0,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0
Christiane Von Berg Bayerische Landesbank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-1,-1,-1,-1
Christoph Schroeter Bayerische Landesbank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-1,0,-1,-1,0,-1,0,-1,-1,-1,-1,1,-1,1,-1,0,0,0,0,0,0
Christopher Low FTN Financial,-1,-1,-1,0,-1,-1,0,0,0,0,-1,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1
Claudia Windt Helaba,-1,-1,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Concepcion Sanz Banesto,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1,1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1,0,0,1,-1,0,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dariusz Kowalczyk SJS Markets LTD,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
