RSTAXAG% Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/13/2009,9/13/2009,10/13/2009,11/13/2009,12/13/2009,1/13/2010,2/13/2010,3/13/2010,4/13/2010,5/13/2010,6/13/2010,7/13/2010,8/13/2010,9/13/2010,10/13/2010,11/13/2010,12/13/2010,1/13/2011,2/13/2011,3/13/2011,4/13/2011,5/13/2011,6/13/2011,7/13/2011,8/13/2011,9/13/2011,10/13/2011,11/13/2011,12/13/2011,1/13/2012,2/13/2012,3/13/2012,4/13/2012,5/13/2012,6/13/2012,7/13/2012,8/13/2012,9/13/2012,10/13/2012,11/13/2012,12/13/2012,1/13/2013,2/13/2013,3/13/2013,4/13/2013,5/13/2013,6/13/2013,7/13/2013
Girard/Sharif/Berger RBS Securities Inc.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,-1,-1,0,0,0,0,0,0,-1,0,0,0,0,0,-1,-1,0,0,0,0,0,-1,-1
Harris/Coffin/Cummins UBS,0,0,0,0,-1,-1,1,1,0,0,-1,1,-1,1,0,1,1,0,-1,-1,1,-1,-1,0,1,-1,1,0,-1,-1,0,1,1,-1,0,-1,0,-1,-1,-1,1,1,-1,-1,-1,1,-1,-1
Hiroki Shimazu SMBC Nikko Securities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hugh Johnson Hugh Johnson Advisors,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ian Morris HSBC Markets,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ian Shepherdson High Frequency Economics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James Shugg Westpac Banking Co.,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,0,-1,1,0,0,1,-1,0,0,-1,-1,0,-1,-1,0,0,-1,0,-1,1,-1,0,-1,-1,0,-1
Jeffrey Herzog Oxford Economics Ltd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0
Jeffrey Roach Horizon Investments,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jill Kalani/Guy Lebas Janney Montgomery Scott LLC,0,-1,0,1,1,0,-1,1,-1,1,-1,1,-1,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,1,-1,-1,-1,1,-1,1,-1,-1,0,-1,-1,-1,-1,1,-1
