,2/17/10,3/17/10,4/17/10,5/17/10,6/17/10,7/17/10,8/17/10,9/17/10,10/17/10,11/17/10,12/17/10,1/17/11,2/17/11,3/17/11,4/17/11,5/17/11,6/17/11,7/17/11,8/17/11,9/17/11,10/17/11,11/17/11,12/17/11,1/17/12,2/17/12,3/17/12,4/17/12,5/17/12,6/17/12,7/17/12,8/17/12,9/17/12,10/17/12,11/17/12,12/17/12,1/17/13,2/17/13,3/17/13,4/17/13,5/17/13,6/17/13,7/17/13
David Resler Nomura Securities Intl.,0,1,1,-1,-1,0,-1,1,-1,-1,-1,0,1,0,1,-1,1,1,-1,1,-1,-1,1,1,1,1,1,-1,1,-1,1,1,1,0,0,0,0,0,0,0,0,0
David Semmens Standard Chartered,0,-1,1,-1,-1,-1,-1,1,0,-1,-1,1,1,-1,1,-1,-1,1,-1,1,-1,1,0,-1,-1,1,1,-1,-1,-1,1,-1,1,-1,-1,-1,0,0,0,0,0,0
David Sloan 4CAST Ltd.,0,-1,-1,-1,-1,-1,-1,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dean Maki Barclays,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Derek Holt Scotiabank,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,0,-1,-1,1,0,1,0,-1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Dirk Chlench Landesbank BW,0,0,0,0,0,0,-1,1,-1,-1,-1,-1,-1,-1,1,-1,1,1,-1,1,-1,1,1,-1,1,1,1,-1,1,-1,1,1,1,1,1,-1,1,-1,-1,-1,-1,-1
Donald Ratajczak Morgan Keegan & Co.,0,1,-1,-1,0,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,1,-1,1,1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Douglas Porter BMO Capital Markets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,1,-1,-1
Dupuis/Genereux Desjardins Group,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,1,-1,1,-1,-1
E. Green/M. Mulraine TD Securities,0,-1,0,-1,-1,0,0,1,0,-1,-1,-1,1,0,-1,-1,1,1,-1,1,-1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1
Ellen Zentner Nomura Securities Intl.,0,1,1,-1,-1,1,-1,-1,-1,-1,-1,1,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,1,1,-1,-1,0,0
Ethan Harris BofA Merrill Lynch Research,0,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,-1,-1,-1,0,0,1,-1,1,-1,1,-1,-1,-1,-1,-1
Francesca Panelli Banca Aletti & C spa,0,1,1,-1,-1,1,0,1,0,-1,-1,1,1,-1,1,-1,1,1,-1,1,0,1,1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,1,-1,-1,0,-1,0,-1,-1
Harm Bandholz UniCredit Research,1,-1,1,-1,-1,1,0,1,-1,-1,0,0,1,-1,1,0,1,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,-1,-1,1,0,-1,-1,1,-1,-1,-1,-1
Harris/Coffin/Cummins UBS,0,0,0,-1,0,1,0,1,-1,-1,-1,-1,-1,-1,1,0,1,1,-1,1,-1,0,0,0,0,-1,-1,-1,0,-1,1,1,-1,-1,1,-1,1,1,-1,-1,-1,-1
Hiroki Shimazu SMBC Nikko Securities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,1,-1,0,-1,-1,0,1,0,-1,1,-1,1,-1,1,0,1,-1,-1,-1,-1,-1,-1,-1
Hu/Garatti C I T I C Securities,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hugh Johnson Hugh Johnson Advisors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ian Shepherdson High Frequency Economics,0,0,1,0,-1,-1,0,1,-1,-1,-1,-1,-1,0,0,-1,1,-1,0,-1,-1,-1,-1,1,1,-1,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ian Shepherdson Pantheon Macroeconomics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,-1,-1,-1,-1,-1
James Shugg Westpac Banking Co.,0,1,1,-1,-1,0,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,1,1,1,1,1,-1,-1,1,-1,-1,1,1,-1,1,-1,1,-1,-1,-1,-1,-1
Jason Schenker Prestige Economics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,1,1,-1,1,1,-1,1,-1,-1
Jeavon Lolay Lloyds Bank Wbm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-1,-1,1,1,-1,1,0,0,0,0,0
Jeffrey Herzog Oxford Economics Ltd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,1,-1,1,-1,-1,-1,0,0
