,7/15/08,8/15/08,9/15/08,10/15/08,11/15/08,12/15/08,1/15/09,2/15/09,3/15/09,4/15/09,5/15/09,6/15/09,7/15/09,8/15/09,9/15/09,10/15/09,11/15/09,12/15/09,1/15/10,2/15/10,3/15/10,4/15/10,5/15/10,6/15/10,7/15/10,8/15/10,9/15/10,10/15/10,11/15/10,12/15/10,1/15/11,2/15/11,3/15/11,4/15/11,5/15/11,6/15/11,7/15/11,8/15/11,9/15/11,10/15/11,11/15/11,12/15/11,1/15/12,2/15/12,3/15/12,4/15/12,5/15/12,6/15/12,7/15/12,8/15/12,9/15/12,10/15/12,11/15/12,12/15/12,1/15/13,2/15/13,3/15/13,4/15/13,5/15/13,6/15/13,7/15/13
 BNP Paribas,-1,-1,-1,-1,1,0,0,-1,-1,-1,1,0,1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Briefing.com,1,0,0,-1,0,1,0,0,0,-1,-1,0,1,1,-1,-1,-1,-1,-1,-1,1,1,0,-1,-1,0,-1,-1,0,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,1,-1,-1,0,0,0,0,1,-1
 Castle Financial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 DZ Bank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1
 Intesa Sanpaolo,1,-1,-1,0,1,-1,-1,-1,-1,1,0,-1,1,-1,1,-1,-1,-1,1,1,-1,1,-1,-1,-1,-1,-1,1,-1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,0,1,-1,0,-1,1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1
 Merrill Lynch/BAS,1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Nomura Securities Intl Inc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1
 Pierian Capital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 RBC Capital Markets,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,-1,-1,1,1,1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Stone & McCarthy Research,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,-1,1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,1,-1
