CPUPXCHG Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/16/2008,8/16/2008,9/16/2008,10/16/2008,11/16/2008,12/16/2008,1/16/2009,2/16/2009,3/16/2009,4/16/2009,5/16/2009,6/16/2009,7/16/2009,8/16/2009,9/16/2009,10/16/2009,11/16/2009,12/16/2009,1/16/2010,2/16/2010,3/16/2010,4/16/2010,5/16/2010,6/16/2010,7/16/2010,8/16/2010,9/16/2010,10/16/2010,11/16/2010,12/16/2010,1/16/2011,2/16/2011,3/16/2011,4/16/2011,5/16/2011,6/16/2011,7/16/2011,8/16/2011,9/16/2011,10/16/2011,11/16/2011,12/16/2011,1/16/2012,2/16/2012,3/16/2012,4/16/2012,5/16/2012,6/16/2012,7/16/2012,8/16/2012,9/16/2012,10/16/2012,11/16/2012,12/16/2012,1/16/2013,2/16/2013,3/16/2013,4/16/2013,5/16/2013,6/16/2013,7/16/2013
Bantleon Bank AG Bantleon Bank AG,1,1,1,-1,-1,-1,-1,0,1,1,1,1,1,1,1,1,0,-1,1,-1,0,-1,0,1,1,1,-1,-1,-1,1,1,0,1,-1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,-1,-1,-1,0,0,-1,1,1,-1,-1,1,1
Bastian Hepperle WestLB AG,1,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,-1,0,0,0,1,1,0,-1,-1,-1,1,1,1,1,0,1,1,1,1,1,-1,1,1,1,1,-1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bayer/Heidrich/Riefer Deutsche Postbank AG,0,0,0,0,0,0,0,-1,1,1,1,1,1,1,1,1,1,-1,1,-1,1,-1,-1,1,1,1,-1,-1,-1,1,1,1,1,-1,1,1,1,1,1,-1,1,1,1,1,-1,1,1,1,1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,1,1
Beatriz Tejero Ibersecurities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bernd Krampen Nord/LB,1,1,0,-1,-1,-1,-1,-1,1,-1,0,0,0,1,1,1,0,-1,1,-1,0,-1,-1,0,0,1,-1,-1,-1,0,1,1,1,-1,1,1,1,-1,0,-1,1,1,0,1,-1,-1,1,1,1,0,-1,-1,1,-1,0,1,0,-1,0,1,0
Besch/Luetje DekaBank,1,1,1,-1,-1,0,-1,-1,1,1,1,1,1,1,1,1,1,-1,1,-1,1,-1,-1,1,1,1,-1,-1,-1,1,1,1,1,-1,-1,1,1,1,1,-1,1,1,1,1,-1,1,-1,1,-1,-1,-1,-1,1,0,-1,1,-1,-1,-1,1,1
Beth Ann Bovino Standard & Poor's,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bill Cheney John Hancock Financial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,0,-1
Brian M. Jones Societe Generale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,1,1,-1,1,-1,1,-1,1,-1,1,1,1,1,-1,1,-1,-1,1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1
Brian Mandt Deutsche Postbank AG,1,1,1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Rupkey Bank of Tokyo- Mitsubishi UFJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,-1,0,0,0,0,0,-1,0,1,0,-1,1,1,0,-1,0,1
Christian Reicherter DZ Bank,1,1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,0,-1,-1,1,-1,-1,-1,1,1,-1,-1,-1,1,1,1,0,-1,-1,0,0,1,-1,-1,1,1,1,1,-1,1,1,1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0
Christiane Von Berg Bayerische Landesbank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-1,-1,-1,1
Christoph Schroeter Bayerische Landesbank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,1,-1,-1,1,1,-1,1,-1,1,1,1,1,0,1,1,0,0,-1,-1,-1,1,-1,-1,0,0,0,0,0,0
Christophe Barraud Market Securities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-1,1,1,1,1,0,1,1,1,1,-1,-1,-1,1,-1,-1,1,1,-1,-1,1,1
Christopher Low FTN Financial,1,1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,0,-1,0,-1,1,-1,0,0,0,0,0,0,1,1,-1,-1,-1,-1,1,0,1,-1,1,1,1,1,1,-1,1,1,1,1,-1,1,1,1,1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,1
Claudia Windt Helaba,1,1,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clement Gignac National Bank Financial,1,1,-1,0,-1,-1,-1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Concepcion Sanz Banesto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crandall/Jordan Wrightson ICAP,0,1,0,-1,-1,-1,-1,1,1,1,0,1,1,1,1,1,1,-1,1,-1,1,-1,-1,1,1,1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,1,-1,1,1,1,1,-1,1,1,1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
David Greenlaw Morgan Stanley & Co.,1,1,1,-1,-1,-1,-1,1,1,-1,1,1,1,1,-1,1,1,-1,0,-1,0,0,-1,1,1,1,-1,-1,-1,1,1,1,1,-1,1,1,1,1,1,-1,1,1,1,0,-1,1,1,1,1,-1,-1,-1,1,-1,-1,1,-1,0,0,0,0
David Milleker Union Investment,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,-1,0,0,0,0,-1,0,0,-1,1,1,0,0,-1,1,1,0,1,-1,0,1,1,0,1,0,1,1,1,1,0,0,0,1,1,-1,-1,-1,1,0,-1,1,0,-1,0,1,1
David Resler Nomura Securities Intl.,1,1,1,-1,-1,-1,-1,1,1,1,1,1,-1,1,1,1,1,-1,1,-1,1,-1,-1,-1,1,1,-1,-1,-1,1,1,1,0,0,1,-1,1,0,-1,-1,1,1,-1,1,-1,1,-1,-1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0
David Semmens Standard Chartered,0,0,0,0,-1,0,-1,0,0,-1,0,0,1,0,1,1,0,-1,1,-1,1,-1,-1,1,1,1,-1,-1,-1,1,1,1,1,-1,1,1,1,1,1,-1,1,1,1,1,-1,1,1,1,1,-1,-1,-1,1,-1,-1,0,0,0,0,0,0
David Sloan 4CAST Ltd.,1,1,1,-1,-1,-1,-1,1,1,1,0,1,1,1,1,1,1,-1,1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dean Maki Barclays,1,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,-1,1,-1,-1,1,1,1,-1,-1,-1,1,1,1,1,-1,-1,1,1,1,1,-1,1,1,1,1,-1,1,1,1,1,-1,-1,-1,1,-1,-1,1,1,-1,-1,1,1
Derek Holt Scotiabank,1,1,1,-1,-1,-1,-1,-1,1,1,1,1,1,1,-1,1,1,-1,1,-1,1,-1,-1,1,1,1,-1,-1,-1,1,1,1,1,-1,-1,1,-1,-1,-1,-1,1,1,1,1,-1,-1,0,1,-1,-1,-1,-1,1,-1,-1,1,1,-1,-1,0,1
Dirk Chlench Landesbank BW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,-1,1,1,1,-1,1,1,0,-1,-1,-1,1,1,1,1,-1,1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
Donald Ratajczak Morgan Keegan & Co.,0,1,0,0,-1,0,-1,0,0,0,1,0,0,1,1,1,1,-1,1,-1,1,-1,-1,0,1,1,-1,-1,-1,1,1,1,1,-1,1,1,1,1,1,-1,1,1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Douglas Porter BMO Capital Markets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,-1,-1
Douglas Smith Standard Chartered,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dupuis/Genereux Desjardins Group,-1,1,-1,-1,-1,-1,-1,1,1,1,-1,1,1,1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,1,-1,1,-1,-1,-1,1,-1,1,-1,1,1,1,1,-1,1,1,1,1,-1,-1,-1,1,-1,-1,1,1,-1,-1,-1,1
E. Green/M. Mulraine TD Securities,1,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,0,-1,-1,1,1,1,1,-1,1,-1,-1,-1,1,-1,1,1,1,1,-1,1,-1,1,1,-1,-1,-1,1,-1,-1,1,1,-1,-1,1,1
Ellen Zentner Nomura Securities Intl.,1,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,0,1,1,-1,1,-1,1,-1,-1,1,1,1,-1,-1,-1,1,1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,1,1,-1,-1,0,0
Ethan Harris BofA Merrill Lynch Research,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,-1,1,1,1,1,1,-1,1,1,1,1,-1,1,1,1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1
